S. No.,Name,Home Country,Team,Matches,No. of balls,No. of Overs,Wickets taken,Runs Conceded,Economy rate,Dot Balls,Maiden overs,Bowling Strike Rate,Bowling Average,CBR,log10(CBR),RAA,Wins,EF Score,Salary,Value
1,Jasprit Bumrah,India,MI,14,330,55,21,410,7.45,142,0,15.71,19.52,12.04280399,1.080727618,111,0.421,0.148,"$1,093,750","$1,203,759"
2,Harshal Patel,India,DC,15,338,56.33333333,32,459,8.14,122,0,10.56,14.34,10.44269728,1.018812689,330,1.25,0.246,"$31,250","$2,434,891"
3,Sunil Narine,West Indies,KKR,14,336,56,16,361,6.44,131,0,21,22.56,12.13470533,1.084029235,-89,-0.338,0.126,"$1,953,130","$76,583"
4,Jofra Archer,England,-,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,,,,
5,Chris Woakes,England,DC,3,66,11,5,82,7.45,33,0,13.2,16.4,11.07168879,1.04421387,60,0.228,0.044,"$214,300","$917,139"
6,Chris Jordan,England,PBKS,4,72,12,4,96,8,27,0,18,24,13.5,1.130333768,-12,-0.044,0.037,"$428,600","$513,197"
7,Anrich Nortje,South Africa,DC,8,182,30.33333333,12,187,6.16,84,1,15.16,15.58,10.25691607,1.011016802,129,0.487,0.103,"$28,600","$1,301,774"
8,Ravichandran Ashwin,India,DC,13,268,44.66666667,7,331,7.41,95,0,38.28,47.28,16.46301363,1.216509338,-151,-0.572,0.057,"$1,100,000","-$270,926"
9,Pat Cummins,Australia,KKR,7,161,26.83333333,9,237,8.83,60,0,17.88,26.33,14.48168697,1.160819156,18,0.069,0.098,"$2,214,300","$681,011"
10,Arshdeep Singh,India,PKBS,12,248,41.33333333,18,342,8.27,88,0,13.77,19,12.18659112,1.08588224,129,0.488,0.128,"$28,600","$1,303,259"
11,Abdul Samad,India,SRH,11,6,1,1,9,9,1,0,6,9,7.714285714,0.88729572,-74,-0.282,0.028,"$28,600","$159,747"
12,Kartik Tyagi,India,RR,4,84,14,4,124,8.85,37,0,21,31,15.55440065,1.191853281,-35,-0.134,0.03,"$185,700","$379,539"
13,Avesh Khan,India,DC,16,366,61,24,450,7.37,156,0,15.25,18.75,11.78354504,1.071275966,178,0.675,0.16,"$109,380","$1,580,969"
14,Shreyas Gopal,India,RR,3,42,7,0,84,12,11,0,0,0,-,-,-102,-0.387,0.004,"$31,250","$3,814"
15,Syed Khaleel Ahmed,India,SRH,7,162,27,5,219,8.11,56,0,32.4,43.8,16.94917073,1.229148454,-111,-0.421,0.032,"$468,750","-$46,679"
16,Varun Chakravarthy,India,KKR,17,408,68,18,448,6.58,149,0,22.66,24.88,12.69576679,1.103658936,15,0.056,0.102,"$1,200,000","$661,705"
17,Sheldon Cottrell,West Indies,-,0,0,0,0,0,0,0,0,0,0,NaN,NaN,,,,,
18,Sandeep Sharma,India,SRH,7,141,23.5,3,203,8.63,52,0,47,67.66,19.74577549,1.295474195,-115,-0.437,0.02,"$468,750","-$70,440"
19,Jaydev Unadkat,India,RR,6,132,22,4,168,7.63,52,0,33,42,16.20096515,1.209540888,-75,-0.283,0.043,"$428,600","$158,262"
20,Riley Meredith,Australia,PKBS,5,102,17,4,169,9.94,38,0,25.5,42.25,18.34997658,1.263635514,-59,-0.224,0.027,"$1,142,900","$245,882"
